============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Layer 1( 2.13 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  136  9 .8189134E+07   2141413E-02  .8486E+02 -.1519E+03   .9999581  .0047217 -.0078481
T  137  9 .8126444E+07   2146969E-02 -.2051E+03 -.9677E+02   .9998564 -.0164902  .0038935
T  138  9 .8190652E+07   2135540E-02 -.8526E+02  .2428E+02   .9999225 -.0052660  .0112769
T  139  9 .8286514E+07   2140129E-02 -.5042E+02  .3245E+02   .9999489 -.0093009 -.0039680
T  140  9 .8246488E+07   2131249E-02  .1768E+03  .5262E+02   .9999831  .0055109 -.0018325
T  141  9 .8043831E+07   2146510E-02 -.1324E+03  .3224E+03   .9992995 -.0119912  .0354507
T  142  9 .8201032E+07   2138212E-02  .7233E+02  .2327E+01   .9999189  .0127376  .0001197
T  143  9 .8206458E+07   2141799E-02  .1449E+03  .3973E+02   .9999249  .0114191  .0044517
T  144  9 .8190134E+07   2131984E-02 -.8100E+02  .7645E+01   .9998839 -.0060977 -.0139679
T  145  9 .8116297E+07   2136444E-02 -.1323E+03 -.2494E+02   .9991691 -.0368452  .0174203
T  146  9 .8183036E+07   2131264E-02 -.7597E+00  .3895E+02   .9999828  .0047484  .0034441
T  147  9 .8117640E+07   2134973E-02 -.2634E+03  .2290E+03   .9993399 -.0252709  .0260991
T  148  9 .8147590E+07   2140527E-02  .1327E+03 -.1192E+03   .9997983  .0167085 -.0111449
T  149  9 .8168038E+07   2131692E-02 -.4972E+02  .2784E+01   .9999727 -.0072758  .0013076
T  150  9 .8266960E+07   2140102E-02 -.6355E+02 -.3081E+02   .9999613 -.0074674 -.0046497
T  151  9 .8241320E+07   2134058E-02 -.7493E+02  .7979E+02   .9999596 -.0014222  .0088722
T  152  9 .8245593E+07   2140836E-02  .3368E+02  .1666E+03   .9999855  .0031163  .0043992
T  153  9 .8130098E+07   2135056E-02  .6502E+02  .3587E+02   .9999558  .0015010 -.0092839
T  154  9 .8118979E+07   2134151E-02  .2017E+03 -.2544E+03   .9961115  .0372837 -.0798238
T  155  9 .8192986E+07   2142671E-02  .1627E+03 -.1273E+03   .9998381  .0116507 -.0137116
T  156  9 .8063702E+07   2137267E-02  .4885E+02  .3750E+02   .9999968  .0011698 -.0022315
T  157  9 .8188638E+07   2140092E-02  .1627E+03  .1379E+02   .9995810  .0265117  .0116165
T  158  9 .8203321E+07   2133096E-02  .2074E+03 -.1177E+03   .9998311  .0119699 -.0139444
T  159  9 .8158253E+07   2131055E-02  .2644E+02 -.5249E+03   .9992095 -.0033191 -.0396149
T  160  9 .8078373E+07   2150711E-02 -.8889E+02  .2589E+03   .9997024 -.0104828  .0220284
T  161  9 .8177528E+07   2142366E-02  .6641E+02 -.7728E+02   .9999368  .0001036 -.0112439
T  162  9 .8173906E+07   2134465E-02 -.1911E+03  .2263E+03   .9997674 -.0143415  .0161063
T  163  9 .8226154E+07   2133529E-02  .7432E+02  .1106E+03   .9999612  .0040997  .0077961
T  164  9 .8219823E+07   2131504E-02  .9168E+01  .1213E+03   .9999034 -.0046206  .0131054
T  165  9 .8142143E+07   2135723E-02  .6159E+02 -.1594E+03   .9999511  .0062972 -.0076255
T  166  9 .8155638E+07   2138466E-02 -.2473E+02  .6582E+02   .9999877 -.0026771  .0041775
T  167  9 .8221817E+07   2133408E-02  .1286E+03  .6962E+02   .9994464  .0192775  .0271176
T  168  9 .8204976E+07   2132096E-02  .3155E+03  .8567E+02   .9998535  .0169125 -.0026212
T  169  9 .8225600E+07   2133825E-02 -.8605E+01 -.2641E+02   .9999894 -.0045641 -.0006087
T  170  9 .8216248E+07   2132394E-02 -.8892E+02  .1199E+03   .9997394 -.0029711  .0226354
T  171  9 .8212032E+07   2145308E-02 -.6278E+02  .9169E+02   .9999172  .0038260  .0122891
T  172  9 .8003421E+07   2133594E-02 -.2076E+03 -.9443E+02   .9997442 -.0213694 -.0074128
T  173  9 .8168184E+07   2132528E-02 -.1050E+03 -.1228E+03   .9999230 -.0044553 -.0115857
T  174  9 .8170218E+07   2143570E-02 -.7267E+01  .9820E+02   .9999582  .0076401  .0050173
T  175  9 .8180279E+07   2131747E-02 -.4414E+02 -.6909E+01   .9999469 -.0091079 -.0048156
T  176  9 .8224136E+07   2136397E-02 -.9588E+02  .5496E+02   .9999714  .0050390 -.0056472
T  177  9 .8128836E+07   2146756E-02  .2807E+02  .4536E+02   .9999775  .0067072 -.0002899
T  178  9 .8123776E+07   2135071E-02  .2403E+02  .5017E+02   .9999957 -.0029246  .0003446
T  179  9 .8054680E+07   2142818E-02  .2236E+01 -.9798E+02   .9999605 -.0039559 -.0079544
T  180  9 .8148089E+07   2147079E-02  .6955E+02 -.7611E+02   .9999650  .0058900 -.0059339
T  181  9 .8183715E+07   2146564E-02 -.7250E+02  .7767E+02   .9999232 -.0123962  .0000157
T  182  9 .7981860E+07   2144523E-02  .3743E+02  .2175E+03   .9991755 -.0090190  .0395855
T  183  9 .8245320E+07   2130567E-02  .5190E+02  .3539E+03   .9995194  .0070769  .0301820
T  184  9 .8289460E+07   2135086E-02  .5794E+01  .1529E+02   .9999937 -.0033803  .0011034
T  185  9 .8133674E+07   2138671E-02  .8775E+02 -.1251E+03   .9999814  .0058073 -.0018504
T  186  9 .8115594E+07   2149028E-02  .6382E+02  .1501E+03   .9997914 -.0034851  .0201250
T  187  9 .8120344E+07   2133400E-02 -.3411E+02  .2208E+02   .9999275 -.0096529 -.0072003
T  188  9 .8219296E+07   2132648E-02  .2063E+03 -.2758E+02   .9998805  .0131755 -.0080831
T  189  9 .8163452E+07   2135780E-02 -.1266E+03  .1095E+03   .9999077 -.0096446  .0095698
T  190  9 .8180436E+07   2138619E-02  .1666E+03  .1802E+03   .9995784  .0224806  .0183735
T  191  9 .8184738E+07   2133452E-02  .7686E+01  .5676E+02   .9999769 -.0050201 -.0045849
T  192  9 .8200928E+07   2133586E-02  .4665E+02  .3888E+03   .9992009  .0076390  .0392333
T  193  9 .8131643E+07   2131082E-02  .1422E+03 -.1257E+03   .9999115  .0070054 -.0113127
T  194  9 .8114161E+07   2137216E-02  .1091E+03 -.2693E+02   .9999987  .0000656 -.0016327
T  195  9 .8181690E+07   2133106E-02  .3483E+03  .3327E+02   .9998123  .0188558  .0044438
T  196  9 .8040363E+07   2140985E-02 -.2233E+02  .1641E+03   .9997199 -.0020821  .0235742
T  197  9 .8138563E+07   2137895E-02  .4342E+02 -.1535E+03   .9999418 -.0007826 -.0107643
T  198  9 .8156716E+07   2146105E-02 -.1861E+03  .2207E+02   .9997307 -.0228754  .0038997
T  199  9 .8201021E+07   2138155E-02 -.1260E+03  .5857E+01   .9999519 -.0094293 -.0026918
T  200  9 .8166317E+07   2140627E-02  .3935E+02 -.5411E+02   .9999838  .0020855 -.0052897
T  201  9 .8138114E+07   2140663E-02 -.1331E+03 -.8022E+02   .9998832 -.0140321 -.0060575
T  202  9 .8108703E+07   2137719E-02  .2853E+03  .1442E+02   .9999352  .0103196  .0048105
T  203  9 .8225008E+07   2134082E-02  .1525E+03  .1607E+03   .9999666  .0037214  .0072720
T  204  9 .8121777E+07   2137023E-02 -.2872E+02 -.3645E+02   .9999934 -.0022580  .0028298
T  205  9 .8173474E+07   2130610E-02  .6075E+02 -.2119E+02   .9998636  .0162111  .0031442
T  206  9 .8171118E+07   2130578E-02 -.1937E+02  .1176E+03   .9999212 -.0086524  .0090933
T  207  9 .8213462E+07   2143500E-02 -.3246E+03 -.1216E+03   .9997139 -.0235525 -.0041695
T  208  9 .8181160E+07   2148020E-02  .5781E+02 -.1496E+01   .9998765 -.0150450  .0045496
T  209  9 .8069364E+07   2139310E-02  .2517E+02 -.2528E+02   .9999411 -.0104720 -.0028688
T  210  9 .8333419E+07   2135079E-02 -.4573E+02 -.9325E+02   .9999077  .0011091 -.0135415
T  211  9 .8215469E+07   2143636E-02  .4117E+02  .2296E+03   .9995751  .0053561  .0286536
T  212  9 .8140028E+07   2131363E-02 -.4651E+02 -.3268E+01   .9999959  .0019797  .0020779
