============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Aluminium( 2.66 um) ======================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  138  9 .7924135E+07   2667058E-02  .4842E+04  .2512E+03   .9841189  .1766834  .0171161
T  139  9 .8002364E+07   2680519E-02  .4718E+04 -.1584E+03   .9840264  .1779307 -.0057191
T  140  9 .7872831E+07   2670351E-02  .5224E+04 -.3274E+03   .9806553  .1939428 -.0264838
T  141  9 .7915963E+07   2668408E-02  .4264E+04 -.1678E+03   .9876853  .1544026 -.0252504
T  142  9 .7957050E+07   2673481E-02  .4802E+04 -.8429E+02   .9851892  .1714566  .0022196
T  143  9 .7962003E+07   2678150E-02  .4860E+04 -.1407E+03   .9841239  .1773399 -.0071139
T  144  9 .7912642E+07   2675218E-02  .5105E+04 -.5955E+02   .9839181  .1785571  .0047537
T  145  9 .7922346E+07   2669696E-02  .4650E+04  .6596E+02   .9860574  .1659174  .0127336
T  146  9 .7928996E+07   2683858E-02  .4613E+04 -.1453E+03   .9853423  .1680810 -.0291416
T  147  9 .7873301E+07   2680471E-02  .4382E+04 -.6153E+02   .9869491  .1610280  .0012179
T  148  9 .7936637E+07   2671671E-02  .4301E+04 -.2991E+02   .9852048  .1698675 -.0227296
T  149  9 .7855772E+07   2682251E-02  .4829E+04  .5206E+02   .9817661  .1899386  .0076580
T  150  9 .7864837E+07   2668625E-02  .4740E+04 -.1068E+04   .9820381  .1774427 -.0641497
T  151  9 .8082627E+07   2670178E-02  .4630E+04 -.3253E+03   .9853262  .1706463 -.0034925
T  152  9 .7880765E+07   2669874E-02  .4741E+04  .2412E+03   .9814259  .1915372  .0108034
T  153  9 .7959768E+07   2673518E-02  .4330E+04 -.4725E+03   .9880601  .1519997 -.0251645
T  154  9 .7807157E+07   2665295E-02  .6120E+04 -.1191E+04   .9727123  .2290890 -.0367281
T  155  9 .7854585E+07   2675725E-02  .4787E+04  .1491E+03   .9829633  .1828256  .0189207
T  156  9 .7982489E+07   2679135E-02  .5928E+04 -.1107E+03   .9701016  .2420298 -.0180146
T  157  9 .8002205E+07   2660279E-02  .4749E+04 -.1199E+03   .9839626  .1781032  .0098386
T  158  9 .8065673E+07   2665002E-02  .4572E+04 -.3529E+03   .9847266  .1726752 -.0222877
T  159  9 .8038668E+07   2673466E-02  .4819E+04  .1312E+03   .9827611  .1845363 -.0112717
T  160  9 .7991286E+07   2664390E-02  .4843E+04 -.2740E+03   .9848823  .1730923 -.0067803
