============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Graphite (carbon)( 2.13 um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  114  9 .8261077E+07   2139746E-02  .1876E+04  .6892E+02   .9948947  .1006441  .0074339
T  115  9 .8402802E+07   2138507E-02  .1804E+04  .1129E+03   .9966120  .0821270  .0044364
T  116  9 .8295312E+07   2148079E-02  .1976E+04 -.6980E+02   .9958961  .0899008 -.0104304
T  117  9 .8357118E+07   2130366E-02  .1976E+04  .1743E+03   .9959047  .0889732  .0160519
T  118  9 .8281707E+07   2140661E-02  .1953E+04 -.8120E+02   .9958583  .0907495 -.0055415
T  119  9 .8213509E+07   2148919E-02  .1921E+04 -.1370E+03   .9959107  .0875215 -.0224045
T  120  9 .8235227E+07   2136660E-02  .1964E+04  .4587E+03   .9936946  .0961996  .0575902
T  121  9 .8262166E+07   2144646E-02  .1787E+04 -.5338E+02   .9964372  .0842120 -.0046080
T  122  9 .8247701E+07   2145621E-02  .1956E+04  .9259E+02   .9952026  .0976326  .0062935
T  123  9 .8254286E+07   2142809E-02  .1859E+04  .1532E+02   .9968842  .0788768 -.0006540
T  124  9 .8320238E+07   2144413E-02  .1856E+04  .1554E+03   .9956048  .0924488  .0149781
T  125  9 .8393900E+07   2152447E-02  .2029E+04 -.8025E+02   .9952946  .0968326 -.0034916
T  126  9 .8338923E+07   2138601E-02  .1063E+04  .1659E+03   .9987196  .0498979  .0083307
T  127  9 .8355734E+07   2147361E-02  .1806E+04  .4683E+02   .9975553  .0696182  .0060614
T  128  9 .8273805E+07   2139082E-02  .1863E+04 -.2281E+03   .9958526  .0882761 -.0220228
T  129  9 .8277284E+07   2137751E-02  .2100E+04  .7018E+01   .9946309  .1034862 -.0002376
T  130  9 .8234394E+07   2145148E-02  .1913E+04  .2309E+02   .9957520  .0919643  .0045341
T  131  9 .8275953E+07   2141980E-02  .1739E+04 -.8581E+02   .9972129  .0739818 -.0096485
T  132  9 .8295948E+07   2140885E-02  .1985E+04  .2313E+01   .9959796  .0895366  .0027846
T  133  9 .8261172E+07   2140020E-02  .1776E+04  .4983E+02   .9971545  .0753192  .0031487
T  134  9 .8280456E+07   2139455E-02  .1883E+04  .2801E+02   .9963206  .0856900 -.0015944
T  135  9 .8270434E+07   2140059E-02  .1742E+04  .5159E+02   .9965219  .0831703  .0051746
T  136  9 .8226463E+07   2143414E-02  .1918E+04 -.3025E+03   .9964166  .0744403 -.0401568
T  137  9 .8254491E+07   2149159E-02  .1854E+04  .4817E+01   .9962952  .0859228 -.0036211
T  138  9 .8166243E+07   2138229E-02  .1800E+04 -.1290E+03   .9968117  .0794741 -.0070952
T  139  9 .8234605E+07   2146426E-02  .1938E+04 -.3143E+03   .9948046  .0999463 -.0193532
T  140  9 .8220021E+07   2145368E-02  .1940E+04  .2634E+03   .9962721  .0841319  .0190699
T  141  9 .8295404E+07   2142096E-02  .1918E+04  .4803E+02   .9954398  .0952193  .0057339
T  142  9 .8281131E+07   2140620E-02  .1931E+04 -.9561E+02   .9958794  .0904503 -.0065600
T  143  9 .8222911E+07   2147231E-02  .1866E+04  .8992E+02   .9958204  .0911990  .0049508
T  144  9 .8337856E+07   2142646E-02  .1938E+04  .1473E+03   .9968134  .0790951  .0103479
T  145  9 .8256602E+07   2144316E-02  .1777E+04 -.1700E+03   .9958747  .0906292 -.0044691
T  146  9 .8221145E+07   2140511E-02  .1864E+04  .5612E+01   .9966930  .0812486  .0013375
T  147  9 .8174115E+07   2148375E-02  .2047E+04 -.6863E+02   .9949842  .1000258 -.0011594
T  148  9 .8244705E+07   2147566E-02  .1779E+04  .8204E+02   .9971070  .0755730  .0081485
T  149  9 .8290877E+07   2149961E-02  .1827E+04  .3935E+02   .9965376  .0831285  .0015790
T  150  9 .8373629E+07   2137834E-02  .1972E+04 -.6910E+02   .9957083  .0925340  .0015817
T  151  9 .8301095E+07   2137954E-02  .1939E+04 -.2362E+03   .9956677  .0913319 -.0174466
T  152  9 .8278031E+07   2141019E-02  .1817E+04 -.2449E+01   .9962651  .0863372 -.0013227
T  153  9 .8233502E+07   2147807E-02  .2632E+04 -.5079E+03   .9891023  .1403425 -.0445033
T  154  9 .8300846E+07   2136762E-02  .1969E+04 -.8915E+02   .9964371  .0843295  .0012911
T  155  9 .8207068E+07   2145829E-02  .1751E+04 -.1609E+03   .9962153  .0853460 -.0164671
T  156  9 .8168506E+07   2138732E-02  .1707E+04  .1987E+02   .9964356  .0837893 -.0097671
T  157  9 .8239145E+07   2146467E-02  .1566E+04 -.1649E+03   .9992087  .0286889 -.0275498
T  158  9 .8383501E+07   2140071E-02  .1698E+04 -.1286E+03   .9970417  .0748112 -.0176386
T  159  9 .8221434E+07   2144890E-02  .2254E+04 -.9271E+02   .9928733  .1189623 -.0071126
