============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1(  271 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  138  2 .4670813E+06   2718903E-04  .4841E+03 -.1536E+02   .4654878  .8758182 -.1275286
T  139  2 .4709094E+06   2713555E-04  .4630E+03 -.8784E+01   .4820469  .8746472 -.0512158
T  140  2 .4596484E+06   2722961E-04  .4847E+03 -.2010E+01   .5566899  .8306975 -.0061665
T  141  2 .4596636E+06   2726882E-04  .5218E+03 -.9015E+01   .4525275  .8917477  .0022205
T  142  2 .4605571E+06   2729673E-04  .4994E+03 -.4144E-01   .4448089  .8955851  .0085051
T  143  2 .4660550E+06   2728346E-04  .4764E+03 -.4176E+01   .4886435  .8724110 -.0112464
T  144  2 .4665503E+06   2714034E-04  .4393E+03  .1390E+02   .5419912  .8395159  .0381910
T  145  2 .4635949E+06   2713781E-04  .4786E+03 -.5685E+01   .4958118  .8680148 -.0268508
T  146  2 .4657549E+06   2714011E-04  .4723E+03  .7085E+01   .5065752  .8615107  .0343623
T  147  2 .4771353E+06   2717906E-04  .4802E+03 -.6434E+01   .4831000  .8744847 -.0434845
T  148  2 .4707931E+06   2716888E-04  .4602E+03  .1883E+01   .5164797  .8562958  .0024793
T  149  2 .4667890E+06   2714613E-04  .4164E+03 -.3934E+02   .5258567  .8465718 -.0824075
T  150  2 .4708325E+06   2720441E-04  .5030E+03  .6232E+01   .4608012  .8871249 -.0259172
T  151  2 .4581850E+06   2711139E-04  .4692E+03 -.5601E+01   .5036785  .8634504 -.0275927
T  152  2 .4668016E+06   2720929E-04  .4276E+03 -.1222E+02   .5691341  .8165272 -.0967972
T  153  2 .4641505E+06   2722019E-04  .4723E+03  .2432E+02   .5100893  .8483431  .1418551
T  154  2 .4681528E+06   2723154E-04  .4599E+03 -.1082E+02   .5234126  .8513733 -.0346793
T  155  2 .4655219E+06   2717730E-04  .4447E+03 -.2870E+01   .5680398  .8226844 -.0228308
T  156  2 .4679523E+06   2727749E-04  .4843E+03 -.2403E+02   .5150434  .8543482 -.0694223
T  157  2 .4554660E+06   2718792E-04  .4767E+03 -.7237E+00   .3626716  .9290635  .0728724
T  158  2 .4637935E+06   2712663E-04  .4732E+03 -.3480E+01   .4946244  .8682701 -.0381276
T  159  2 .4582415E+06   2712219E-04  .4738E+03  .8646E+01   .5012240  .8640749  .0463582
T  160  2 .4774888E+06   2712535E-04  .4181E+03  .3798E+02   .5793025  .7402379  .3412572
T  161  2 .4520254E+06   2711831E-04  .4714E+03  .2802E+01   .5133204  .8581591  .0080754
T  162  2 .4546075E+06   2725018E-04  .5190E+03 -.6753E+01   .4472458  .8943441  .0109455
T  163  2 .4599805E+06   2718182E-04  .5036E+03 -.1103E+02   .4480872  .8919174 -.0608384
T  164  2 .4587364E+06   2722921E-04  .4534E+03  .4499E+01   .6116107  .7894961  .0512669
T  165  2 .4711778E+06   2721078E-04  .4642E+03 -.6774E+01   .5051161  .8625495 -.0294301
T  166  2 .4619621E+06   2719543E-04  .4889E+03 -.4955E+01   .3988778  .9001259  .1751279
T  167  2 .4672295E+06   2710915E-04  .5030E+03 -.1234E+02   .4434294  .8944094 -.0583289
T  168  2 .4704191E+06   2733961E-04  .4448E+03  .1817E+02   .5268403  .8495229  .0273879
T  169  2 .4588284E+06   2710304E-04  .4807E+03  .2193E+01   .4781163  .8782467  .0093607
T  170  2 .4646306E+06   2716308E-04  .4350E+03  .1221E+02   .5560712  .8295877  .0506849
T  171  2 .4657952E+06   2716997E-04  .4577E+03 -.4754E+01   .5293640  .8483909 -.0025842
T  172  2 .4610309E+06   2713596E-04  .4702E+03  .6760E+01   .4847177  .8734963  .0453103
T  173  2 .4625848E+06   2717610E-04  .4841E+03  .5782E+01   .4914792  .8695523  .0482385
T  174  2 .4639603E+06   2728609E-04  .4792E+03  .3577E+01   .5126419  .8571546  .0498431
T  175  2 .4608662E+06   2711455E-04  .4604E+03  .2197E+01   .4911870  .8710243  .0072032
T  176  2 .4669709E+06   2720709E-04  .4686E+03 -.7411E+01   .5134275  .8559374 -.0613463
T  177  2 .4593500E+06   2730271E-04  .4825E+03 -.4720E+01   .4755442  .8796769 -.0051287
T  178  2 .4649380E+06   2718700E-04  .4699E+03 -.2005E+01   .4809249  .8766172  .0159221
T  179  2 .4547601E+06   2723172E-04  .4970E+03 -.3811E+02   .4468709  .8799110 -.1614405
T  180  2 .4578736E+06   2718968E-04  .4732E+03  .9104E+01   .4720723  .8813053  .0211808
T  181  2 .4588781E+06   2719333E-04  .4701E+03 -.6846E+01   .5070060  .8618164  .0147463
T  182  2 .4640144E+06   2719019E-04  .4727E+03 -.1041E+02   .5023653  .8640772 -.0316173
T  183  2 .4666134E+06   2727030E-04  .4467E+03  .1216E+02   .5263446  .8497051  .0310264
T  184  2 .4612008E+06   2710347E-04  .5002E+03 -.5120E+00   .4710672  .8820573  .0083956
T  185  2 .4576885E+06   2728425E-04  .4678E+03 -.4777E+01   .5133474  .8577408 -.0274789
T  186  2 .4589461E+06   2716009E-04  .4423E+03 -.1942E+02   .5157063  .8420095 -.1583257
T  187  2 .4629513E+06   2710292E-04  .4614E+03 -.6681E+01   .5073039  .8612857 -.0288037
T  188  2 .4709559E+06   2710746E-04  .4806E+03 -.3707E+01   .4747680  .8800058 -.0136052
T  189  2 .4619067E+06   2713571E-04  .4791E+03  .2703E+00   .4736543  .8807081  .0021860
T  190  2 .4637400E+06   2714327E-04  .4641E+03 -.7714E+00   .5232056  .8522043 -.0019070
T  191  2 .4641029E+06   2713815E-04  .4530E+03  .1402E+01   .5252373  .8505569  .0260510
T  192  2 .4651982E+06   2711001E-04  .4520E+03 -.2308E+02   .5549415  .8099820 -.1896552
T  193  2 .4639025E+06   2711803E-04  .4630E+03  .6100E+01   .5491001  .8353642  .0256074
T  194  2 .4681792E+06   2717709E-04  .4688E+03  .7634E+01   .4828003  .8746970  .0425327
T  195  2 .4638450E+06   2723808E-04  .4434E+03  .5656E+01   .5421996  .8402317  .0055001
T  196  2 .4645777E+06   2714407E-04  .4742E+03 -.6372E+01   .5047223  .8621876 -.0434515
T  197  2 .4623160E+06   2717450E-04  .4747E+03  .1425E+01   .5076613  .8614487 -.0136431
T  198  2 .4723991E+06   2716669E-04  .4658E+03 -.1267E+01   .5167248  .8561042  .0090014
T  199  2 .4589385E+06   2722496E-04  .4776E+03 -.1079E+02   .4901221  .8695175 -.0609888
T  200  2 .4651921E+06   2723886E-04  .4426E+03  .6128E+01   .5500547  .8346551  .0281185
T  201  2 .4612112E+06   2715548E-04  .4489E+03  .4944E+01   .5397219  .8416374  .0186239
T  202  2 .4633654E+06   2725182E-04  .4534E+03  .1661E+01   .5013646  .8652104 -.0066712
T  203  2 .4730239E+06   2715725E-04  .4970E+03 -.1037E+02   .4483537  .8932240 -.0336146
T  204  2 .4634584E+06   2716546E-04  .5425E+03  .3244E+02   .4592143  .8769183  .1419030
