============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  128  1 .4737354E+06   1852408E-03  .2912E+03 -.7253E+02   .9855071  .1686988 -.0177907
T  129  1 .4617074E+06   1850001E-03  .1546E+03  .7942E+01   .9937432  .1034556  .0420883
T  130  1 .4698991E+06   1857415E-03  .1590E+03 -.4088E+02   .9689183 -.1285998  .2113277
T  131  1 .4662167E+06   1853937E-03  .1447E+03 -.1601E+02   .9983005  .0571644 -.0113273
T  132  1 .4721322E+06   1853185E-03  .1381E+03 -.2300E+02   .9976463  .0591242 -.0347299
T  133  1 .4687736E+06   1849058E-03  .1922E+03 -.6961E+02   .9929156  .0953884 -.0708497
T  134  1 .4765758E+06   1850645E-03 -.8904E+02 -.7070E+02   .9920770 -.1131478 -.0545974
T  135  1 .4739118E+06   1847048E-03  .1713E+03  .8565E+01   .9956778  .0926034  .0070946
T  136  1 .4647120E+06   1854410E-03  .1357E+03 -.1858E+02   .9995306  .0295943  .0079211
T  137  1 .4602994E+06   1860068E-03  .1494E+03  .3130E+02   .9979912  .0596957  .0212136
T  138  1 .4625177E+06   1846910E-03  .1337E+03 -.1377E+02   .9989861  .0426351 -.0144567
T  139  1 .4742606E+06   1852348E-03  .1237E+03  .1394E+02   .9981586  .0559349  .0234690
T  140  1 .4717832E+06   1861176E-03  .8883E+02 -.2594E+01   .9994441  .0332133  .0028759
T  141  1 .4662439E+06   1854006E-03  .1830E+03  .8807E+01   .9963040  .0838532  .0186275
T  142  1 .4680765E+06   1846893E-03  .2728E+02 -.1153E+03   .9901382 -.0763102 -.1174870
T  143  1 .4664471E+06   1847371E-03  .1423E+03  .8279E+01   .9974102  .0719213 -.0004040
T  144  1 .4650699E+06   1853277E-03  .1711E+03 -.9513E+01   .9972610  .0732080 -.0105394
T  145  1 .4613363E+06   1854372E-03  .3063E+03  .8752E+02   .9326812  .3299214  .1458004
T  146  1 .4777747E+06   1851502E-03  .1987E+03  .2961E+02   .9901385  .1221623  .0685723
T  147  1 .4670925E+06   1848087E-03  .1051E+03 -.6538E+02   .9984249  .0415028 -.0377520
T  148  1 .4735906E+06   1850816E-03  .1656E+03  .3548E+02   .9941064  .1056237  .0244145
T  149  1 .4658841E+06   1846590E-03  .1060E+03  .8419E+02   .9926268  .0079843  .1209471
T  150  1 .4691623E+06   1854714E-03  .1315E+03  .3029E+01   .9992128  .0396488 -.0013016
T  151  1 .4689719E+06   1849271E-03  .1615E+03  .1158E+02   .9972284  .0737742 -.0096418
T  152  1 .4777019E+06   1861429E-03  .1919E+03 -.1452E+02   .9899993  .1407709 -.0092133
T  153  1 .4614139E+06   1858276E-03  .1632E+03 -.1229E+02   .9988173  .0258241 -.0411950
T  154  1 .4627170E+06   1855182E-03  .1614E+03  .3600E+00   .9966504  .0766249 -.0285772
T  155  1 .4719529E+06   1850252E-03  .1950E+03  .8820E+01   .9934423  .1082158  .0369020
T  156  1 .4655607E+06   1850500E-03  .1602E+03  .9674E+01   .9971418  .0740227 -.0151299
T  157  1 .4815971E+06   1853054E-03  .1893E+03  .4114E+02   .9927738  .1152216  .0335285
T  158  1 .4780311E+06   1853743E-03  .1612E+03 -.6274E+01   .9925138  .1199550 -.0229608
T  159  1 .4647248E+06   1858932E-03  .1273E+03  .2520E+02   .9985866  .0458879  .0268147
T  160  1 .4752037E+06   1851729E-03  .1146E+03  .1546E+01   .9995190  .0286349 -.0119089
T  161  1 .4679427E+06   1857268E-03  .7036E+02 -.1910E+03   .9937149  .0233380 -.1094803
T  162  1 .4653282E+06   1846500E-03  .1510E+03 -.7591E+01   .9992383  .0383895  .0070017
T  163  1 .4701761E+06   1852075E-03  .9207E+02  .7446E+01   .9995669  .0156597 -.0249175
T  164  1 .4713007E+06   1848561E-03  .4471E+03  .9956E+02   .9849261  .1719582  .0187334
T  165  1 .4754866E+06   1857386E-03  .1607E+03  .8822E+01   .9944416  .1028714  .0224352
T  166  1 .4627428E+06   1846831E-03  .1313E+03  .7242E+01   .9955621  .0933403 -.0119850
T  167  1 .4633412E+06   1846370E-03  .1912E+03 -.1610E+02   .9927164  .1176725 -.0258321
T  168  1 .4806335E+06   1855459E-03  .2167E+03  .1170E+02   .9886564  .1501934  .0006254
T  169  1 .4770326E+06   1856648E-03  .1967E+03  .4429E+02   .9928960  .1148884  .0309532
